ID,Предмет,Класс,Задание,ЕстьАудио,ЕстьКартинки
vpr_sd_945897,french,4,"Прочитай рассказ. Вставь вместо каждого пропуска, обозначенного буквами А − Е, нужную грамматическую форму, выбрав её из трёх предложенных вариантов (1, 2 или 3). Dasha aime le printemps. La nature est belle. Dasha aime se promener avec A _____ parents. Ils B _____ quand il fait beau. Ils C _____ beaucoup de photos, se promènent, achètent D _____ souvenirs. « La nature est magnifique, les oiseaux ",Нет,Нет
vpr_sd_945860,french,4,Помоги своему другу заполнить анкету для сайта «Друзья онлайн». Прочитай текст и запиши информацию в таблицу. Под каждым номером запиши только одно слово (без артиклей). Числа необходимо записать словами. Alex Souteev Alex habite à Moscou. Il a 10 ans. Moscou est la capitale de la Russie. Alex a une sœur et un frère. Il a un petit chaton Tim. Il aime son chaton. Alex aime jouer au football. Il veu,Нет,Нет
vpr_sd_945913,french,4,"Прочитай текст. Для каждого предложения А − Е выбери один правильный вариант ответа из трех предложенных (1, 2 или 3). Pierre et ses leçons Pierre est un petit garçon. Il a dix ans. Il habite avec ses parents. En hiver il va à l’école. En été il visite ses grands-parents. Pierre apprend toujours ses leçons et il a toujours de bonnes notes dans son bulletin. C’est dimanche aujourd’hui. Pierre et se",Нет,Нет
vpr_sd_945915,french,4,"Прочитай текст. Для каждого предложения А − Е выбери один правильный вариант ответа из трех предложенных (1, 2 или 3). Egor et sa famille C'est l'hiver. Il fait beau. Il neige parfois. Egor habite dans une petite ville. Egor a 9 ans et il aime aller à l'école. Son école est loin de la maison. Egor doit aller à l'école à l`autobus. Chaque matin, Egor prend son sac à dos. Il prend ses manuels, ses c",Нет,Нет
vpr_sd_945902,french,4,"Помоги своему другу заполнить анкету для сайта «Друзья онлайн». Прочитай текст и запиши информацию в таблицу. Под каждым номером запиши только одно слово (без артиклей). Числа необходимо записать словами. Kolya Аrsenin Kolya habite à Voronej. C`est une belle ville de la Russie. Le printemps est beau à Voronej. Le soleil brille et les oiseaux chantent. Kolya a une grande famille, il a un frère et d",Нет,Нет
vpr_sd_945870,french,4,"Прочитай рассказ. Вставь вместо каждого пропуска, обозначенного буквами А − Е, нужную грамматическую форму, выбрав её из трёх предложенных вариантов (1, 2 или 3). Hier, A ____nouvel élève est venu nous voir en classe. Il s'appelle Paul. Il habitait à Saratov. C`est B _____très belle ville de la Russie. Paul a 10 ans. Il a une sœur et deux frères. Il aime beaucoup les chats. Il C ____ un chat gris.",Нет,Нет
vpr_sd_945868,french,4,"Прочитай рассказ. Вставь вместо каждого пропуска, обозначенного буквами А − Е, нужную грамматическую форму, выбрав её из трёх предложенных вариантов (1, 2 или 3). Je suis Annete. Une fois, moi et ma soeur, nous A ____ dans la forêt pour les champignons. B _____ grand-père et nous, nous aimons les champignons. Notre grand-père connaît bien la forêt et nous raconte beaucoup d'histoires C _________. ",Нет,Нет
vpr_sd_945901,french,4,Помоги своему другу заполнить анкету для сайта «Друзья онлайн». Прочитай текст и запиши информацию в таблицу. Под каждым номером запиши только одно слово (без артиклей). Числа необходимо записать словами. Sonya Petrova Sonya habite à Pskov. Pskov est une belle ville. On peut y trouver beaucoup de sites historiques. Sonia aime se promener en ville. La ville est très ancienne et très belle. Sonya a ,Нет,Нет
vpr_sd_945908,french,4,"Прочитай текст. Для каждого предложения А − Е выбери один правильный вариант ответа из трех предложенных (1, 2 или 3). Ann et l'hiver C'est l'hiver. C'est le 20 décembre et les enfants de la classe se préparent pour le Nouvel An. Ils décorent la classe. Les filles découpent des flocons de neige, les garçons décorent l'arbre de Noël. Tous les élèves sont très amusants. Ils aiment l'hiver et bientôt",Нет,Нет
vpr_sd_945848,french,4,"Прочитай рассказ. Вставь вместо каждого пропуска, обозначенного буквами А − Е, нужную грамматическую форму, выбрав её из трёх предложенных вариантов (1, 2 или 3). Nicolas est un petit garçon de 9 ans. Il A _____ en France, à Lille. Nicolas a un joli jouet, un B _____ avion rouge. Tout l’été dernier, Nicolas C _____ avec son avion. Mais maintenant, Nicolas va à l’école. Chaque jour, il fait D _____",Нет,Нет
vpr_sd_945917,french,7,"Вы услышите диалог. Для каждого предложения А–Е выберите один правильный вариант ответа из трёх предложенных (1, 2 или 3). Вы услышите запись дважды. При повторном прослушивании проверьте себя. A. Julien téléphone à __________. 1) son père 2) son grand-père 3) son frère B. Julien a acheté __________ à la boutique. 1) une chemise 2) un jean 3) un T-shirt C. Dans le Jardin municipal, des musiciens _",Да,Нет
vpr_sd_945850,french,7,"Прочитайте текст. Для каждого предложения А–Е выберите один правильный вариант ответа из четырёх предложенных (1, 2, 3 или 4). Au bout d`un mois, les cauchemairs continuant à perturber mes nuits, il m`a semblé necessaires de faire le point de la situation. J`étais un bon élève, seules me manquaient les connaissances en matiere de football pour m`intégrer à la classe. Les copains étaient sympa dans",Нет,Нет
vpr_sd_945919,french,7,"Прочитайте текст и вставьте вместо каждого пропуска, обозначенного буквами А–Е , нужную грамматическую форму, выбрав её из четырёх предложенных вариантов (1, 2, 3 или 4). La gymnastique La gymnastique est un sport connu dès l’Antiquité. Ce mot A ____ d’un terme grec qui signifie « nu », car les athlètes grecs s’entraînaient nus. La gymnastique est un sport qui demande de la force et la maîtrise du",Нет,Нет
vpr_sd_945912,french,7,"Вы получили электронное письмо от Вашего друга по переписке Артура из Франции. Ниже приведён отрывок из этого письма. De : Arthur@laposte.fr // À : Ami_e_russe@mail.ru // Objet : Sport // ... Notre équipe de football est devenue champion de la région ! Et toi, fais-tu du sport ? Quel est ton sport préféré ? Pourquoi ? ... Напишите ему ответное письмо объёмом 80–90 слов, ответьте на три его вопроса",Нет,Нет
vpr_sd_945860,french,7,"Вы услышите диалог. Для каждого предложения А–Е выберите один правильный вариант ответа из трёх предложенных (1, 2 или 3). Вы услышите запись дважды. При повторном прослушивании проверьте себя. A. À son anniversaire, Hélène a invité _________. 1) 2 amis 2) 3 amis 3) 5 amis B. Hélène va fêter son anniversaire _________. 1) chez ses grands-parent 2) dans un jardin public 3) au concert de musique cel",Да,Нет
vpr_sd_945854,french,7,"Прочитайте текст. Для каждого предложения А–Е выберите один правильный вариант ответа из четырёх предложенных (1, 2, 3 или 4). L'espace attire toujours ses énigmes. J'aimerais aussi être astronaute. À l'école, j'ai appris un article sur le célèbre cosmonaute Youri Gagarine. Je sais que le premier vol humain dans l'espace a eu lieu le 12 avril 1961. Le cosmonaute soviétique Yuri Gagarine est devenu",Нет,Нет
vpr_sd_945876,french,7,"Прочитайте текст и вставьте вместо каждого пропуска, обозначенного буквами А–Е , нужную грамматическую форму, выбрав её из четырёх предложенных вариантов (1, 2, 3 или 4). Bonheur félin Le matin à Paris était beau. Il A _______ chaud. Un embouteillage B ___________ sur l'une des autoroutes. Dans l'une des voitures, la famille était C __________ : maman, papa, fille et chat. Ils ont emmené le chaton",Нет,Нет
vpr_sd_945888,french,7,"Вы получили электронное письмо от Вашего друга по переписке Жана из Франции. Ниже приведён отрывок из этого письма De : Jean@laposte.fr // À : Ami e russe@mail.ru // Objet : Fête // ... Hier, nous avons celebré une fête de nos amis. Et toi, aimes-tu les fêtes? Pourquoi ? Quelle est ta fête préféré ? Напишите ему ответное письмо объёмом 80–90 слов, ответьте на три его вопроса. Оформите свой ответ в",Нет,Нет
vpr_sd_945875,french,7,"Прочитайте текст и вставьте вместо каждого пропуска, обозначенного буквами А–Е , нужную грамматическую форму, выбрав её из четырёх предложенных вариантов (1, 2, 3 или 4). Le poisson d'avril Tout le monde aime les vacances A ___________. Tout le monde aime rire et faire des farces. En France, les enfants aiment beaucoup les fêtes. L'expression « poisson d'avril » en France est B _______ à un fait h",Нет,Нет
vpr_sd_945851,french,7,"Прочитайте текст. Для каждого предложения А–Е выберите один правильный вариант ответа из четырёх предложенных (1, 2, 3 или 4). C`était une soirée comme je les aime, une soirée tranquille à la maison. Maman lisait un livre, allongée sur le sofa du salon, et moi je repetais un morceau de piano pour mon audition de Noel. Il s`agassait d`un passage compliqué avec plein de triples croches, de dièses et",Нет,Нет
vpr_sd_945853,french,7,"Прочитайте текст. Для каждого предложения А–Е выберите один правильный вариант ответа из четырёх предложенных (1, 2, 3 или 4). La sixième planète était une planète dix fois plus vaste. Elle était habitée par un vieux Monsieur qui écrivait d’énormes livres. — Tiens ! voilà un explorateur ! s’écria-t-il, quand il aperçut le petit prince. Le petit prince s’assit sur la table et souffla un peu. Il ava",Нет,Нет
vpr_sd_945855,french,7,"Прочитайте текст. Для каждого предложения А–Е выберите один правильный вариант ответа из четырёх предложенных (1, 2, 3 или 4). J’ai invité les copains à venir à la maison cet après-midi pour jouer aux cow-boys. Ils sont arrivés avec toutes leurs affaires. Rufus avait mis la panoplie d’agent de police que lui avait offerte son papa avec le képi, les menottes, le revolver, le bâton blanc et le siffl",Нет,Нет
vpr_sd_945848,french,7,"Прочитайте текст. Для каждого предложения А–Е выберите один правильный вариант ответа из четырёх предложенных (1, 2, 3 или 4). J’ai alors beaucoup réfléchi sur les aventures de la jungle et, à mon tour, j’ai réussi, avec un crayon de couleur, à tracer mon premier dessin. Mon dessin numéro 1. Il était comme ça : J’ai montré mon chef d’œuvre aux grandes personnes et je leur ai demandé si mon dessin ",Нет,Нет
vpr_sd_945865,french,7,"Прочитайте текст. Для каждого предложения А–Е выберите один правильный вариант ответа из четырёх предложенных (1, 2, 3 или 4). La bouteille Le 26 juillet 1864 un beau bateau qui s'appelait le Duncan rentrait au port. Ce bateau appartenait à lord Glenarvan. Edvard Glenarvan avait trente-deux ans. Il était très bon, courageux et généreux. C'était un homme riche et il faisait beaucoup de bien. Sur le",Нет,Нет
vpr_sd_945861,french,7,"Прочитайте текст. Для каждого предложения А–Е выберите один правильный вариант ответа из четырёх предложенных (1, 2, 3 или 4). Les enfants du capitaine Grant Le capitaine écossais Harry Grant était un brave marin et un vrai patriote de son pays. Son pays, l'Ecosse 1 , était dominé par l'Angleterre et il a voulu fonder une grande colonie écossaise libre dans une île de l'océan Pacifique. Son nom es",Нет,Нет
vpr_sd_945918,french,7,"Le livre Yves parle de son enfance : « J’aimais beaucoup lire. Maman et moi partions souvent pour la ville. Nous faisions des achats dans de grands magasins pleins de merveilles. Mais j'attendais mon heure. Je connaissais bien l'endroit et je tirais Maman par la main pour la conduire là où je désirais que nous passions. Nous voilà près de la librairie. Je m'arrêtais. “ Maman, priais-je, Maman, veu",Нет,Нет
vpr_sd_945864,french,7,"Вы услышите диалог. Для каждого предложения А–Е выберите один правильный вариант ответа из трёх предложенных (1, 2 или 3). Вы услышите запись дважды. При повторном прослушивании проверьте себя. A. Samedi prochain, Hélène va fêter ses _________. 1) 16 ans 2) 15 ans 3) 13 ans B. Le jour de son anniversaire _________. 1) il pleuvra 2) il fera beau 3) il fera froid C. Les amis n'offrent pas de chaton ",Да,Нет
vpr_sd_945878,french,7,"Прочитайте текст и вставьте вместо каждого пропуска, обозначенного буквами А–Е , нужную грамматическую форму, выбрав её из четырёх предложенных вариантов (1, 2, 3 или 4). L`Institut Pasteur Louis Pasteur est un célèbre chimiste et biologiste français, fondateur du vaccin contre la rage. En 1886, Louis Pasteur A ________ d'ouvrir un Institut de vaccination contre la rage. Le premier Institut a été ",Нет,Нет
vpr_sd_945887,french,7,"Вы получили электронное письмо от Вашего друга по переписке Поля из Франции. Ниже приведён отрывок из этого письма De : Paul@laposte.fr // À : Ami e russe@mail.ru // Objet : Saison // ... Hier, il faisait du vent fort dans notre ville. Quel temps fait-il dans votre ville ? Quelle est ta saison préférée ? Pourquoi ? Напишите ему ответное письмо объёмом 80–90 слов, ответьте на три его вопроса. Оформ",Нет,Нет
vpr_sd_945873,french,7,"Прочитайте текст и вставьте вместо каждого пропуска, обозначенного буквами А–Е , нужную грамматическую форму, выбрав её из четырёх предложенных вариантов (1, 2, 3 или 4). Ils ont vu la Terre de l`Espace L'exploration spatiale a toujours été un grand mystère pour les gens. L'exploration spatiale a commencé en 1957 lorsque le premier satellite A ____ a été lancé en orbite. Dans les années suivantes,",Нет,Нет
vpr_sd_945891,french,7,"Вы получили электронное письмо от Вашего друга по переписке Поля из Франции. Ниже приведён отрывок из этого письма De : Paul@laposte.fr // À : Ami e russe@mail.ru // Objet : Amitié // ... Demain, je vais au cinéma avec mon ami. Et toi, as-tu beaucoup d'amis? Pourquoi ? Quel est ton meilleur ami ? Напишите ему ответное письмо объёмом 80–90 слов, ответьте на три его вопроса. Оформите свой ответ в со",Нет,Нет
vpr_sd_945896,french,7,"Вы получили электронное письмо от Вашего друга по переписке Даниэля из Франции. Ниже приведён отрывок из этого письма De : Daniel@laposte.fr // À : Ami e russe@mail.ru // Objet : Vacances // ...Notre famille va passer les vacances d`hiver à la montagne! Et toi, qu`est-ce que tu vas faire en vacances d`hiver ? Aimes-tu les vacances ? Pourquoi ? ... Напишите ему ответное письмо объёмом 80–90 слов, о",Нет,Нет
vpr_sd_945863,french,7,"Вы получили электронное письмо от Вашей подруги по переписке Лизы из Франции. Ниже приведён отрывок из этого письма. De : Lise@laposte.fr // À : Ami_e_russe@mail.ru // Objet : Devoirs // ...Le prof de maths nous donne trop de devoirs ! Je comprends que les devoirs nous aident à mieux nous préparer aux contrôles. Mais parfois ça prend beaucoup de temps. Et en Russie, vos profs vous donnent les devo",Нет,Нет
vpr_sd_945867,french,7,"Вы получили электронное письмо от Вашей подруги по переписке Анны из Франции. Ниже приведён отрывок из этого письма. De : Anna@laposte.fr // À : Ami_e_russe@mail.ru // Objet : Langues étrangères // ...En France, les collégiens apprennent obligatoirement deux langues étrangères ! Moi, j’apprends l'anglais et l'espagnol. Et toi, quelle(s) langue(s) étrangère(s) apprends-tu à l'école? Que faites-vous",Нет,Нет
vpr_sd_945899,french,7,"Вы получили электронное письмо от Вашего друга по переписке Жюли из Франции. Ниже приведён отрывок из этого письма De : Julie@laposte.fr // À : Ami e russe@mail.ru // Objet : Fête // ... Demain, je fêterai mon anniversaire. Et toi, aimes-tu inviter tes amis pour ton anniversaire? Pourquoi ? Comment passes-tu cette journée?... Напишите ему ответное письмо объёмом 80–90 слов, ответьте на три его воп",Нет,Нет
vpr_sd_945898,french,7,"Вы получили электронное письмо от Вашего друга по переписке Мари из Франции. Ниже приведён отрывок из этого письма De : Marie@laposte.fr // À : Ami e russe@mail.ru // Objet : Repas // ... Hier, nous étions dans un café avec mes parents. Et toi, aimes-tu aller au café? Pourquoi ? Quels sont tes plats préférés?... Напишите ему ответное письмо объёмом 80–90 слов, ответьте на три его вопроса. Оформите",Нет,Нет
vpr_sd_945890,french,7,"Вы получили электронное письмо от Вашего друга по переписке Жана из Франции. Ниже приведён отрывок из этого письма De : Jean@laposte.fr // À : Ami e russe@mail.ru // Objet : Ville // ... Ma classe et moi nous avons visité les curiosités de notre ville. Et toi, est-ce que tu aimes ta ville ? Pourquoi ? Quelles sont tes curiosités préférées?... Напишите ему ответное письмо объёмом 80–90 слов, ответь",Нет,Нет
vpr_sd_945880,french,7,"Вы получили электронное письмо от Вашего друга по переписке Жана из Франции. Ниже приведён отрывок из этого письма De : Jean@laposte.fr // À : Ami e russe@mail.ru // Objet : Musée // ... Ma classe et moi nous sommes allés visiter une exposition des tableaux. Et toi, aimes-tu visiter les musées ? Pourquoi ? Quels musées aimes-tu ?... Напишите ему ответное письмо объёмом 80–90 слов, ответьте на три ",Нет,Нет
vpr_sd_945895,french,7,"Вы получили электронное письмо от Вашего друга по переписке Жана из Франции. Ниже приведён отрывок из этого письма De : Jean@laposte.fr // À : Ami e russe@mail.ru // Objet : Ville // ... Ma famille et moi nous avons visité notre capitale. Et toi, aimez-tu visiter des villes? Pourquoi ? Quelle est ta ville préférée?... Напишите ему ответное письмо объёмом 80–90 слов, ответьте на три его вопроса. Оф",Нет,Нет
vpr_sd_945885,french,7,"Вы получили электронное письмо от Вашего друга по переписке Поля из Франции. Ниже приведён отрывок из этого письма De : Paul@laposte.fr // À : Ami e russe@mail.ru // Objet : Théatre // ... Samedi, j`irai au théatre avec mon meilleur ami. Et toi, aimes-tu le théatre? Pourquoi ? Avec qui vas-tu au théatre ? Напишите ему ответное письмо объёмом 80–90 слов, ответьте на три его вопроса. Оформите свой о",Нет,Нет
vpr_sd_945894,french,7,"Вы получили электронное письмо от Вашего друга по переписке Жана из Франции. Ниже приведён отрывок из этого письма De : Jean@laposte.fr // À : Ami e russe@mail.ru // Objet : Musée // ... Ma classe et moi nous sommes allés visiter le musée. Et toi, aimes-tu visiter les musées? Pourquoi ? Quels musées aimes-tu?... Напишите ему ответное письмо объёмом 80–90 слов, ответьте на три его вопроса. Оформите",Нет,Нет
vpr_sd_945892,french,7,"Вы получили электронное письмо от Вашего друга по переписке Жюли из Франции. Ниже приведён отрывок из этого письма De : Julie@laposte.fr // À : Ami e russe@mail.ru // Objet : Musique // ... Mon équipe a gagné le concours de chansons. Et toi, aimes-tu chanter? Pourquoi ? Quelle est ta musique préférée?... Напишите ему ответное письмо объёмом 80–90 слов, ответьте на три его вопроса. Оформите свой от",Нет,Нет
vpr_sd_945901,french,7,"Вы получили электронное письмо от Вашего друга по переписке Пьера из Франции. Ниже приведён отрывок из этого письма De : Pierre@laposte.fr // À : Ami e russe@mail.ru // Objet : Sport // ... Notre équipe de tennis est devenue champion de la ville! Et toi, fais-tu du sport ? Quel est ton sport préféré ? Pourquoi ? ... Напишите ему ответное письмо объёмом 80–90 слов, ответьте на три его вопроса. Офор",Нет,Нет
vpr_sd_945886,french,7,"Вы получили электронное письмо от Вашего друга по переписке Поля из Франции. Ниже приведён отрывок из этого письма De : Paul@laposte.fr // À : Ami e russe@mail.ru // Objet : Animal // ... Samedi, ma maman m`a offert un petit chaton. Et toi, as-tu des animaux domestiques? Pourquoi ? Quel est ton animal domestique préféré? Напишите ему ответное письмо объёмом 80–90 слов, ответьте на три его вопроса.",Нет,Нет
