ID,Предмет,Класс,Задание,Картинки,Файл
vpr_sd_946054,biology,5,"Прочитайте текст и выполните задание. (1) Коза — одно из первых животных, которых приручил человек. (2) Коза мельче овцы и во взрослом состоянии весит около 35 кг. (3) Тело покрыто прямой и густой шерстью, у ангорских коз шерсть длинная и шелковистая. (4) Цвет шерсти бывает от чисто белой до тёмно-бурой, чёрной и пёстрой. (5) На протяжении многих веков из козьей шерсти изготавливают ткани. (6) Коза — нетребовательное животное, довольствуется очень скудными пастбищами, её легко содержать. Сделайт",Да,vpr_biology_5.json
vpr_sd_945241,biology,5,"Задание НИКО №3B05BE. Заполни пропуски в таблице «Природные зоны», используя названия и описания из приведённого ниже списка. Запиши на место каждого пропуска номер выбранного названия или описания. Природные зоны Зона Животное Растение Природные условия Хомяк Список названий и описаний природных условий: 1) тундра 2) тюльпан 3) жаркое лето и холодная малоснежная зима 4) степь 5) холодный климат, короткое лето и продолжительная зима 6) карликовая ива Запишите номера по порядку в таблице.",Нет,vpr_biology_5.json
vpr_sd_945207,biology,5,"Как Вы думаете, какое правило устанавливается изображённым на рисунке знаком? Напишите в ответе это правило и укажите место, где можно встретить такой знак",Да,vpr_biology_5.json
vpr_sd_945179,biology,5,"1. На фотографии изображен представитель одной из профессий. Определите эту профессию. 2. Напишите, какую работу выполняют люди этой профессии. 3. Чем эта работа полезна обществу?",Да,vpr_biology_5.json
vpr_sd_946071,biology,5,"В приведённом ниже списке названы органы растения. Все они, за исключением одного, выполняют функцию полового размножения. Выпишите тот орган растения, который «выпадает» из общего ряда и выполняет другую функцию. Объясните свой выбор. Цветок, лист, плод, семена.",Нет,vpr_biology_5.json
vpr_sd_946106,biology,5,"Какая из частей тела немецкого пинчера: голова, туловище, хвост, лапы обеспечивает перемещение тела собаки в пространстве?",Нет,vpr_biology_5.json
vpr_sd_946102,biology,5,"В каком из органов растения: стебель, лист, тычиночный цветок, пестичный цветок образуется плод?",Нет,vpr_biology_5.json
vpr_sd_945701,biology,5,"Ромашку часто размножают, деля куст в середине августа. Выберите из терминов ниже название такого способа размножения. Почкование, половое размножение, вегетативное размножение, укоренение, плодоношение.",Нет,vpr_biology_5.json
vpr_sd_946174,biology,5,"Опишите лист одуванчика по следующему плану: тип листа; жилкование листа; форма листа по соотношению длины, ширины и по расположению наиболее широкой части Используйте при выполнении задания линейку и карандаш. А. Тип листа 1) черешковый 2) сидячий Б. Жилкование листа В. Тип листа по соотношению длины, ширины и по расположению наиболее широкой части. Впишите в таблицу цифры выбранных ответов под соответствующими буквами. A Б В",Да,vpr_biology_5.json
vpr_sd_945739,biology,5,"Используя таблицу «Пищевая ценность продуктов», ответьте на вопросы. Пищевая ценность продуктов Продукты Содержание веществ, г на 100 г продукта Энергетическая ценность, ккал Белки Жиры Углеводы Пшеничная мука 10,3 1,1 68,9 334 Семена гороха 23,0 1,6 50,8 314 Арбуз 0,7 0,2 8,8 38 Хурма 0,5 — 13,3 53 В каком из пищевых продуктов содержится больше всего углеводов? У какого (каких) из продуктов энергетическая ценность ниже 100 ккал? В каком из продуктов содержится суммарно меньше всего белков, жиро",Нет,vpr_biology_5.json
vpr_sd_946014,biology,5,"Ниже приведены изображения растений, указанных в таблице. Подпишите под каждым из них название соответствующего растения. Пищевая ценность продуктов Продукты Содержание веществ, г на 100 г продукта Энергетическая ценность, ккал Белки Жиры Углеводы Пшеничная мука 10,3 1,1 68,9 334 Семена гороха 23,0 1,6 50,8 314 Арбуз 0,7 0,2 8,8 38 Хурма 0,5 — 13,3 53 A Б В Г",Да,vpr_biology_5.json
vpr_sd_946015,biology,5,"Из этих растений производят различные продукты питания и косметические средства. Под каждым из приведённых ниже изображений подпишите соответствующее растение, которое используют для их изготовления. Пищевая ценность продуктов Продукты Содержание веществ, г на 100 г продукта Энергетическая ценность, ккал Белки Жиры Углеводы Пшеничная мука 10,3 1,1 68,9 334 Семена гороха 23,0 1,6 50,8 314 Арбуз 0,7 0,2 8,8 38 Хурма 0,5 — 13,3 53 A Б",Да,vpr_biology_5.json
vpr_sd_945392,biology,5,"Прочитайте текст и выполните задания. (1) Серая ворона — одна из самых распространенных обитателей нашей страны. (2) Окраска её тела двухцветная: голова, горло, крылья и хвост чёрные, а остальное оперение серое. (3) Оба родителя строят гнездо высоко на дереве из сучьев и прутиков, а внутреннюю его часть выстилают шерстью. (4) В кладке 4-6 яиц, которые ворона насиживает примерно около трёх недель, а потом оба родителя кормят птенцов насекомыми, яйцами мелких птиц и мышами. (5) Серая ворона всеядн",Да,vpr_biology_5.json
vpr_sd_945230,biology,5,"Задание НИКО №E9F753. Заполни пропуски в таблице «Природные зоны», используя названия и описания из приведённого ниже списка. Запиши на место каждого пропуска номер выбранного названия или описания. Природные зоны Зона Животное Растение Природные условия Карликовая берёза Список названий и описаний природных условий: 1) тундра 2) жаркое лето и холодная малоснежная зима 3) полярная сова 4) степь 5) холодный климат, короткое лето и продолжительная зима 6) тюльпан Запишите номера по порядку в табли",Нет,vpr_biology_5.json
vpr_sd_945213,biology,5,Задание НИКО №BEEFBE. Внимательно рассмотри знак. Где можно встретить данный знак? Какое правило установлено этим знаком? Напиши это правило.,Да,vpr_biology_5.json
vpr_sd_945184,biology,5,"1. На фотографии изображен представитель одной из профессий. Определите эту профессию. 2. Напишите, какую работу выполняют люди этой профессии. 3. Какие качества характера ты считаешь наиболее важными для людей этой профессии? Назови два-три качества и поясни свой выбор.",Да,vpr_biology_5.json
vpr_sd_946101,biology,5,"В приведённом ниже списке названы органы винограда. Все они, за исключением одного, выполняют функцию размножения. Выпишите часть растения, которая «выпадает» из общего ряда и выполняет другую функцию. Объясните свой выбор. Побег, цветок, ус, плод.",Нет,vpr_biology_5.json
vpr_sd_945966,biology,5,"Живые организмы способны воспринимать воздействия окружающей среды и определённым образом на них реагировать. Найдите в приведённом списке и запишите название этого процесса. Дыхание, питание, раздражимость, размножение.",Нет,vpr_biology_5.json
vpr_sd_945906,biology,5,"Рассмотрите изображения и выполните задания 1—5. Опишите лист осота полевого по следующему плану: тип листа; жилкование листа; форма края листовой пластинки. Используйте при выполнении задания линейку и карандаш. А. Тип листа 1) сидячий 2) черешковый Б. Жилкование листа 1) параллельное 2) дуговидное 3) пальчатое 4) перисто-сетчатое В. Форма края листовой пластинки 1) выемчатый 2) городчатый 3) пильчатый 4) волнистый 5) цельнокрайный 6) двоякопильчатый Запишите в ответ цифры, расположив их в поря",Да,vpr_biology_5.json
vpr_sd_945285,biology,5,"Расположите в правильном порядке пункты инструкции по вегетативному размножению прививкой, после отбора нужного подвоя. В ответе запишите соответствующую последовательность цифр. 1) Возьмите привой — однолетний побег с двумя-тремя почками или одну почку с частью древесины. 2) Плотно обвяжите место прививки. 3) Подберите подходящий подвой — взрослое растение-сеянец. 4) Прикрепите привой к подвою. 5) Сделайте надрез на подвое до камбия.",Нет,vpr_biology_5.json
vpr_sd_945871,biology,5,"Используя таблицу «Состав молока домашних животных», ответьте на вопросы. Состав молока домашних животных Животные Содержание веществ, в % Вода Белки Жиры Корова 87,3 3,4 3,6 Кобыла 88,8 2,5 1,9 Коза 87,0 3,7 4,0 Верблюдица 86,5 4,0 4-5,0 В молоке какого животного содержится наибольшее количество воды? Молоко каких животных имеет жирность больше 4%? В молоке какого из приведённых в таблице животных содержится больше всего белков и жиров?",Нет,vpr_biology_5.json
vpr_sd_946045,biology,5,"Ниже приведены изображения животных, указанных в таблице. Подпишите под каждым изображением название соответствующего животного. Состав молока домашних животных Животные Содержание веществ, в % Вода Белки Жиры Корова 87,3 3,4 3,6 Кобыла 88,8 2,5 1,9 Коза 87,0 3,7 4,0 Верблюдица 86,5 4,0 4-5,0 A Б В Г",Да,vpr_biology_5.json
